,归属行名,创建机构名称,分级结果,客户号,所占本行百分比
0,中国银行德阳黄河新区支行,中国银行三台喜洋洋广场支行,A1,1,100.0%
1,中国银行德阳黄河新区支行,中国银行三台支行营业部,A3,1,100.0%
2,中国银行德阳黄河新区支行,中国银行三台樟树路支行,A1,1,100.0%
3,中国银行德阳黄河新区支行,中国银行三台老西街支行,A1,1,100.0%
4,中国银行德阳黄河新区支行,中国银行三明东五支行,A1,2,100.0%
5,中国银行德阳黄河新区支行,中国银行三明分行营业部,A1,1,100.0%
6,中国银行德阳黄河新区支行,中国银行三门峡分行营业部,A1,1,100.0%
7,中国银行德阳黄河新区支行,中国银行上海市中兴路支行,A3,1,100.0%
8,中国银行德阳黄河新区支行,中国银行上海市中银大厦支行营业部,A1,1,50.0%
9,中国银行德阳黄河新区支行,中国银行上海市中银大厦支行营业部,A3,1,50.0%
10,中国银行德阳黄河新区支行,中国银行上海市九亭支行,A1,2,100.0%
11,中国银行德阳黄河新区支行,中国银行上海市南京西路第三支行,A1,1,100.0%
12,中国银行德阳黄河新区支行,中国银行上海市台儿庄路支行,A1,1,100.0%
13,中国银行德阳黄河新区支行,中国银行上海市外高桥保税区支行,A1,1,100.0%
14,中国银行德阳黄河新区支行,中国银行上海市宝山支行营业部,A3,1,100.0%
15,中国银行德阳黄河新区支行,中国银行上海市川沙支行,A1,1,100.0%
16,中国银行德阳黄河新区支行,中国银行上海市昌平路支行,A1,1,100.0%
17,中国银行德阳黄河新区支行,中国银行上海市昌里路第二支行,A1,1,100.0%
18,中国银行德阳黄河新区支行,中国银行上海市浦东开发区支行营业部,A1,1,100.0%
19,中国银行德阳黄河新区支行,中国银行上海市莘松路支行,A1,1,100.0%
20,中国银行德阳黄河新区支行,中国银行上海市金山支行营业部,A1,1,100.0%
21,中国银行德阳黄河新区支行,中国银行上海市青浦支行营业部,A3,1,100.0%
22,中国银行德阳黄河新区支行,中国银行上海市高平路支行,A1,1,100.0%
23,中国银行德阳黄河新区支行,中国银行东莞东坑支行营业部,A1,1,100.0%
24,中国银行德阳黄河新区支行,中国银行东莞东城支行营业部,A1,1,100.0%
25,中国银行德阳黄河新区支行,中国银行东莞凤岗支行营业部,A1,1,100.0%
26,中国银行德阳黄河新区支行,中国银行东莞凤岗雁田支行,A1,1,100.0%
27,中国银行德阳黄河新区支行,中国银行东莞塘厦支行营业部,A1,2,100.0%
28,中国银行德阳黄河新区支行,中国银行东莞石排支行营业部,A1,1,100.0%
29,中国银行德阳黄河新区支行,中国银行东莞虎门支行营业部,A1,1,100.0%
30,中国银行德阳黄河新区支行,中国银行东莞长安支行营业部,A1,2,66.66666666666666%
31,中国银行德阳黄河新区支行,中国银行东莞长安支行营业部,A3,1,33.33333333333333%
32,中国银行德阳黄河新区支行,中国银行东莞长安长中路支行,A3,1,100.0%
33,中国银行德阳黄河新区支行,中国银行东莞长安长兴支行,A2,1,50.0%
34,中国银行德阳黄河新区支行,中国银行东莞长安长兴支行,A3,1,50.0%
35,中国银行德阳黄河新区支行,中国银行东莞黄江环城路支行,A3,1,100.0%
36,中国银行德阳黄河新区支行,中国银行东营东城支行营业部,A1,1,100.0%
37,中国银行德阳黄河新区支行,中国银行东营分行营业部,A1,1,100.0%
38,中国银行德阳黄河新区支行,中国银行中山南头升辉支行,A1,1,50.0%
39,中国银行德阳黄河新区支行,中国银行中山南头升辉支行,A3,1,50.0%
40,中国银行德阳黄河新区支行,中国银行中山孙东支行,A1,1,100.0%
41,中国银行德阳黄河新区支行,中国银行中山张家边支行,A1,1,100.0%
42,中国银行德阳黄河新区支行,中国银行中山黄圃支行,A1,1,100.0%
43,中国银行德阳黄河新区支行,中国银行中江伍城北路支行,A1,13,100.0%
44,中国银行德阳黄河新区支行,中国银行中江凯丰北路支行,A1,12,75.0%
45,中国银行德阳黄河新区支行,中国银行中江凯丰北路支行,A3,3,18.75%
46,中国银行德阳黄河新区支行,中国银行中江凯丰北路支行,B2,1,6.25%
47,中国银行德阳黄河新区支行,中国银行中江支行营业部,A1,22,95.65217391304348%
48,中国银行德阳黄河新区支行,中国银行中江支行营业部,A3,1,4.3478260869565215%
49,中国银行德阳黄河新区支行,中国银行中江玄武东路支行,A1,8,100.0%
50,中国银行德阳黄河新区支行,中国银行丹东江城大街支行,A1,1,100.0%
51,中国银行德阳黄河新区支行,中国银行丽水莲都支行,A1,1,100.0%
52,中国银行德阳黄河新区支行,中国银行丽水金汇广场支行,A1,1,100.0%
53,中国银行德阳黄河新区支行,中国银行丽江市福慧支行,A1,1,100.0%
54,中国银行德阳黄河新区支行,中国银行乌鲁木齐市克拉玛依西路支行,A3,1,100.0%
55,中国银行德阳黄河新区支行,中国银行乌鲁木齐市太原路支行,A1,1,100.0%
56,中国银行德阳黄河新区支行,中国银行乌鲁木齐市新华北路支行,A1,1,100.0%
57,中国银行德阳黄河新区支行,中国银行乌鲁木齐市河南西路铁路局支行,A1,1,100.0%
58,中国银行德阳黄河新区支行,中国银行乌鲁木齐市青年路支行,A1,1,100.0%
59,中国银行德阳黄河新区支行,中国银行乐山分行营业部,A1,1,100.0%
60,中国银行德阳黄河新区支行,中国银行乐山县街支行,A1,1,100.0%
61,中国银行德阳黄河新区支行,中国银行乐山市中区支行,A1,1,100.0%
62,中国银行德阳黄河新区支行,中国银行乐山柏杨西路支行,A1,1,100.0%
63,中国银行德阳黄河新区支行,中国银行乐山滨江路支行,A1,1,100.0%
64,中国银行德阳黄河新区支行,中国银行五莲幸福路支行,A1,1,100.0%
65,中国银行德阳黄河新区支行,中国银行什邡亭江西路支行,A1,5,83.33333333333334%
66,中国银行德阳黄河新区支行,中国银行什邡亭江西路支行,C,1,16.666666666666664%
67,中国银行德阳黄河新区支行,中国银行什邡支行营业部,A1,15,100.0%
68,中国银行德阳黄河新区支行,中国银行什邡文化南街支行,A1,3,100.0%
69,中国银行德阳黄河新区支行,中国银行什邡金河路支行,A1,7,77.77777777777779%
70,中国银行德阳黄河新区支行,中国银行什邡金河路支行,A2,1,11.11111111111111%
71,中国银行德阳黄河新区支行,中国银行什邡金河路支行,A3,1,11.11111111111111%
72,中国银行德阳黄河新区支行,中国银行伊宁市边境经济合作区四川路支行,A1,1,100.0%
73,中国银行德阳黄河新区支行,中国银行伊犁哈萨克自治州分行营业部,A1,1,100.0%
74,中国银行德阳黄河新区支行,中国银行会理城北支行,A1,1,100.0%
75,中国银行德阳黄河新区支行,中国银行会理守府路支行,A1,2,100.0%
76,中国银行德阳黄河新区支行,中国银行会理支行营业部,A1,1,100.0%
77,中国银行德阳黄河新区支行,中国银行余姚分行营业部,A1,1,100.0%
78,中国银行德阳黄河新区支行,中国银行余姚泗门支行,A1,1,100.0%
79,中国银行德阳黄河新区支行,中国银行余姚远东支行,A1,1,100.0%
80,中国银行德阳黄河新区支行,中国银行佛山张槎支行,A1,1,100.0%
81,中国银行德阳黄河新区支行,中国银行佛山高明御景支行,A1,1,100.0%
82,中国银行德阳黄河新区支行,中国银行佛山高明支行营业部,A1,1,100.0%
83,中国银行德阳黄河新区支行,中国银行克孜勒苏柯尔克孜自治州分行营业部,A3,1,100.0%
84,中国银行德阳黄河新区支行,中国银行公司金融部（养老金融部）,A1,4,100.0%
85,中国银行德阳黄河新区支行,中国银行六盘水分行营业部,A1,1,100.0%
86,中国银行德阳黄河新区支行,中国银行兰州市安宁支行营业部,A2,1,100.0%
87,中国银行德阳黄河新区支行,中国银行兴平市兴化路支行,A1,1,100.0%
88,中国银行德阳黄河新区支行,中国银行内江东兴支行,A1,2,100.0%
89,中国银行德阳黄河新区支行,中国银行内江中央路支行,A1,2,100.0%
90,中国银行德阳黄河新区支行,中国银行内江交通路支行,A1,1,100.0%
91,中国银行德阳黄河新区支行,中国银行凉山一环路南二段支行,A1,1,100.0%
92,中国银行德阳黄河新区支行,中国银行凉山分行营业部,A1,1,100.0%
93,中国银行德阳黄河新区支行,中国银行利辛支行营业部,A3,1,100.0%
94,中国银行德阳黄河新区支行,中国银行前海蛇口分行营业部,A1,2,100.0%
95,中国银行德阳黄河新区支行,中国银行北京东直门支行,A1,1,100.0%
96,中国银行德阳黄河新区支行,中国银行北京发展大厦支行,A1,1,100.0%
97,中国银行德阳黄河新区支行,中国银行北京启阳路支行,A1,1,100.0%
98,中国银行德阳黄河新区支行,中国银行北京大北窑支行,A1,1,100.0%
99,中国银行德阳黄河新区支行,中国银行北京将台路支行,A1,1,100.0%
100,中国银行德阳黄河新区支行,中国银行北京广渠东路支行,A1,1,100.0%
101,中国银行德阳黄河新区支行,中国银行北京怀柔府前街支行,A1,1,100.0%
102,中国银行德阳黄河新区支行,中国银行北京文慧园支行,A1,1,100.0%
103,中国银行德阳黄河新区支行,中国银行北京方庄支行,A1,1,100.0%
104,中国银行德阳黄河新区支行,中国银行北京清华东路支行,A3,1,100.0%
105,中国银行德阳黄河新区支行,中国银行北京科大支行,A3,1,100.0%
106,中国银行德阳黄河新区支行,中国银行北京翠微支行,A1,1,100.0%
107,中国银行德阳黄河新区支行,中国银行北京芳星园支行,A1,1,100.0%
108,中国银行德阳黄河新区支行,中国银行北京西三旗支行,A3,1,100.0%
109,中国银行德阳黄河新区支行,中国银行北京针织路支行,A3,1,100.0%
110,中国银行德阳黄河新区支行,中国银行北京马坡支行,A1,1,100.0%
111,中国银行德阳黄河新区支行,中国银行北仑分行营业部,A1,1,100.0%
112,中国银行德阳黄河新区支行,中国银行北川安昌支行,A1,1,100.0%
113,中国银行德阳黄河新区支行,中国银行北川支行,A1,2,100.0%
114,中国银行德阳黄河新区支行,中国银行华北油田创业路支行,A1,1,100.0%
115,中国银行德阳黄河新区支行,中国银行南京大光路支行,A1,1,100.0%
116,中国银行德阳黄河新区支行,中国银行南京天润支行,A1,2,100.0%
117,中国银行德阳黄河新区支行,中国银行南京广州路支行,A3,1,100.0%
118,中国银行德阳黄河新区支行,中国银行南京新港支行,A1,1,100.0%
119,中国银行德阳黄河新区支行,中国银行南京江宁高新区支行,C,1,100.0%
120,中国银行德阳黄河新区支行,中国银行南京浦东路支行,A1,1,100.0%
121,中国银行德阳黄河新区支行,中国银行南京雨花支行,A1,1,100.0%
122,中国银行德阳黄河新区支行,中国银行南充北干道支行,A1,1,100.0%
123,中国银行德阳黄河新区支行,中国银行南充文化路支行,A1,4,100.0%
124,中国银行德阳黄河新区支行,中国银行南充西河北路支行,A1,1,100.0%
125,中国银行德阳黄河新区支行,中国银行南宁市明秀东支行,A3,1,100.0%
126,中国银行德阳黄河新区支行,中国银行南宁市武鸣支行营业部,A1,1,100.0%
127,中国银行德阳黄河新区支行,中国银行南宁市西大支行,A3,1,100.0%
128,中国银行德阳黄河新区支行,中国银行南安石井支行,A3,1,100.0%
129,中国银行德阳黄河新区支行,中国银行南昌市大桥支行,A1,2,100.0%
130,中国银行德阳黄河新区支行,中国银行南昌市青湖支行营业部,A1,1,100.0%
131,中国银行德阳黄河新区支行,中国银行南部支行营业部,A1,1,100.0%
132,中国银行德阳黄河新区支行,中国银行南部金葫路支行,A1,2,100.0%
133,中国银行德阳黄河新区支行,中国银行厦门厦大支行,A1,1,100.0%
134,中国银行德阳黄河新区支行,中国银行厦门新店支行,A1,1,100.0%
135,中国银行德阳黄河新区支行,中国银行厦门江头支行,A1,1,100.0%
136,中国银行德阳黄河新区支行,中国银行厦门海虹支行,A1,1,100.0%
137,中国银行德阳黄河新区支行,中国银行厦门马巷支行,A1,1,100.0%
138,中国银行德阳黄河新区支行,中国银行厦门高科技园支行业务发展部,A1,1,100.0%
139,中国银行德阳黄河新区支行,中国银行双流万顺支行,A1,1,100.0%
140,中国银行德阳黄河新区支行,中国银行双流公兴支行,A3,1,100.0%
141,中国银行德阳黄河新区支行,中国银行双流分行个人金融部,A1,1,100.0%
142,中国银行德阳黄河新区支行,中国银行双流分行营业部,A1,4,66.66666666666666%
143,中国银行德阳黄河新区支行,中国银行双流分行营业部,A3,2,33.33333333333333%
144,中国银行德阳黄河新区支行,中国银行双流四川大学支行,A1,2,100.0%
145,中国银行德阳黄河新区支行,中国银行双流西航港支行,A1,4,66.66666666666666%
146,中国银行德阳黄河新区支行,中国银行双流西航港支行,A3,1,16.666666666666664%
147,中国银行德阳黄河新区支行,中国银行双流西航港支行,C,1,16.666666666666664%
148,中国银行德阳黄河新区支行,中国银行台州路桥路南支行,A1,1,100.0%
149,中国银行德阳黄河新区支行,中国银行台州黄岩北城支行,A1,1,100.0%
150,中国银行德阳黄河新区支行,中国银行合江少岷路支行,A1,1,50.0%
151,中国银行德阳黄河新区支行,中国银行合江少岷路支行,A3,1,50.0%
152,中国银行德阳黄河新区支行,中国银行合江榕山支行,A2,1,100.0%
153,中国银行德阳黄河新区支行,中国银行含山支行营业部,A3,1,100.0%
154,中国银行德阳黄河新区支行,中国银行吴江同里支行,A1,2,100.0%
155,中国银行德阳黄河新区支行,中国银行吴江开发区支行,A1,1,100.0%
156,中国银行德阳黄河新区支行,中国银行吴江盛泽支行,A1,1,100.0%
157,中国银行德阳黄河新区支行,中国银行咸阳分行营业部,A1,1,100.0%
158,中国银行德阳黄河新区支行,中国银行哈尔滨理工大学支行,A1,1,100.0%
159,中国银行德阳黄河新区支行,中国银行唐山市凤宁花园支行,A1,1,100.0%
160,中国银行德阳黄河新区支行,中国银行商丘分行营业部,A1,1,100.0%
161,中国银行德阳黄河新区支行,中国银行喀什地区分行营业部,A1,2,100.0%
162,中国银行德阳黄河新区支行,中国银行喀什市克孜都维路支行,A1,1,100.0%
163,中国银行德阳黄河新区支行,中国银行嘉兴市分行营业部,A1,1,100.0%
164,中国银行德阳黄河新区支行,中国银行嘉兴秀城支行,A1,1,100.0%
